SCHEMBL_ID	InChIKey	PUBCHEM_CID	CHEMBL_ID
SCHEMBL635	ZSBYTGRKIKIRRJ-UHFFFAOYSA-N	10152019	
SCHEMBL644	ZTEHOZMYMCEYRM-UHFFFAOYSA-N	13848	CHEMBL3185190
SCHEMBL648	NYYRRBOMNHUCLB-UHFFFAOYSA-N	66960	CHEMBL449411
SCHEMBL675	RWZYAGGXGHYGMB-UHFFFAOYSA-N	227	CHEMBL14173
SCHEMBL676	HBIKSKUVHLHCCR-UHFFFAOYSA-N	87057611	
SCHEMBL694	NYPGBHKJFKQTIY-TYYBGVCCSA-N	6433176	CHEMBL1255942
SCHEMBL698	SIKJAQJRHWYJAI-UHFFFAOYSA-N	798	CHEMBL15844
SCHEMBL700	LZTRCELOJRDYMQ-UHFFFAOYSA-N	6457	CHEMBL118166
SCHEMBL703	UYQPSKUPEXAQRJ-UHFFFAOYSA-N	70042	
SCHEMBL726	SMIXZZMSWYOQPW-UHFFFAOYSA-N	29146	
SCHEMBL729	KHBQMWCZKVMBLN-UHFFFAOYSA-N	7370	CHEMBL27601
SCHEMBL731	OIRDTQYFTABQOQ-KQYNXXCUSA-N	60961	CHEMBL477
SCHEMBL737	KWOLFJPFCHCOCG-UHFFFAOYSA-N	7410	CHEMBL274467
SCHEMBL738	ZOOGRGPOEVQQDX-UUOKFMHZSA-N	24316	
SCHEMBL740	FDDDEECHVMSUSB-UHFFFAOYSA-N	5333	CHEMBL21
SCHEMBL745	RQZAXGRLVPAYTJ-GQFGMJRRSA-N	11683	CHEMBL1201139
SCHEMBL757	JEYKZWRXDALMNG-UHFFFAOYSA-N	71763	CHEMBL2105496
SCHEMBL762	BJHIKXHVCXFQLS-PYWDMBMJSA-N	107428	
SCHEMBL764	FBPFZTCFMRRESA-UHFFFAOYSA-N	453	CHEMBL16105
SCHEMBL769	SGXXNSQHWDMGGP-IZZDOVSWSA-N	3033637	CHEMBL653
SCHEMBL786	CIWBSHSKHKDKBQ-UHFFFAOYSA-N	54676860	CHEMBL1161421
SCHEMBL788	MWOODERJGVWYJE-UHFFFAOYSA-N	36299	
SCHEMBL789	DHLFKRNCGLBPRR-UHFFFAOYSA-N	10197813	
SCHEMBL794	GQKZBCPTCWJTAS-UHFFFAOYSA-N	10869	
SCHEMBL808	ZBTMRBYMKUEVEU-UHFFFAOYSA-N	7805	CHEMBL1377077
SCHEMBL814	PHGLYQGVAGLHTN-UHFFFAOYSA-N	10870911	
SCHEMBL823	WXMKPNITSTVMEF-UHFFFAOYSA-M	10759	
SCHEMBL824	VMXUWOKSQNHOCA-LCYFTJDESA-N	657345	CHEMBL12649
